Fecha,Ahogamientos
2013-01-01,8.0
2013-02-01,6.0
2013-03-01,0.0
2013-04-01,7.0
2013-05-01,2.0
2013-06-01,11.0
2013-07-01,126.0
2013-08-01,141.0
2013-09-01,40.0
2013-10-01,28.0
2013-11-01,28.0
2013-12-01,21.0
2014-01-01,31.0
2014-02-01,14.0
2014-03-01,13.0
2014-04-01,31.0
2014-05-01,35.0
2014-06-01,63.0
2014-07-01,115.0
2014-08-01,123.0
2014-09-01,71.0
2014-10-01,48.0
2014-11-01,16.0
2014-12-01,14.0
2015-01-01,32.0
2015-02-01,46.0
2015-03-01,47.0
2015-04-01,32.0
2015-05-01,66.0
2015-06-01,101.0
2015-07-01,196.0
2015-08-01,261.0
2015-09-01,51.0
2015-10-01,36.0
2015-11-01,16.0
2015-12-01,20.0
2016-01-01,49.0
2016-02-01,50.0
2016-03-01,28.0
2016-04-01,64.0
2016-05-01,75.0
2016-06-01,94.0
2016-07-01,216.0
2016-08-01,254.0
2016-09-01,75.0
2016-10-01,38.0
2016-11-01,23.0
2016-12-01,29.0
2017-01-01,68.0
2017-02-01,51.0
2017-03-01,53.0
2017-04-01,48.0
2017-05-01,78.0
2017-06-01,196.0
2017-07-01,224.0
2017-08-01,238.0
2017-09-01,110.0
2017-10-01,83.0
2017-11-01,61.0
2017-12-01,70.0
2018-01-01,62.0
2018-02-01,36.0
2018-03-01,87.0
2018-04-01,72.0
2018-05-01,76.0
2018-06-01,113.0
2018-07-01,187.0
2018-08-01,216.0
2018-09-01,119.0
2018-10-01,104.0
2018-11-01,63.0
2018-12-01,45.0
2019-01-01,56.0
2019-02-01,40.0
2019-03-01,63.0
2019-04-01,62.0
2019-05-01,96.0
2019-06-01,144.0
2019-07-01,211.0
2019-08-01,314.0
2019-09-01,96.0
2019-10-01,83.0
2019-11-01,47.0
2019-12-01,76.0
2020-01-01,93.0
2020-02-01,47.0
2020-03-01,59.0
2020-04-01,23.0
2020-05-01,91.0
2020-06-01,162.0
2020-07-01,324.0
2020-08-01,330.0
2020-09-01,97.0
2020-10-01,44.0
2020-11-01,58.0
2020-12-01,48.0
